#id	flamsteed	bayer	con 	ra	dec	mag
1				000509.9	+451345	6.70
2				000503.8	-003011	6.29
3	33		Psc	000520.1	-054227	4.61
4	86		Peg	000542.0	+132346	5.51
5				000616.0	+582612	5.96
6				000619.0	-490430	5.70
7	10		Cas	000626.5	+641146	5.59
8				000636.8	+290117	6.13
9				000650.1	-230627	6.18
10				000718.2	-172311	6.19
11				000744.1	-023256	6.43
12				000746.8	-223032	5.94
13				000803.5	-333146	5.68
14				000812.1	-022652	6.07
15	21	Alp	And	000823.3	+290526	2.06
16				000817.4	-084926	5.99
17				000841.0	+363736	6.19
18				000833.4	-173439	6.06
19				000852.2	+252746	6.23
20				000920.2	+794253	6.01
21	11	Bet	Cas	000910.7	+590859	2.27
22	87		Peg	000902.4	+181243	5.53
23				000902.4	-540007	6.33
24		Kap1	Scl	000921.0	-275916	5.42
25		Eps	Phe	000924.7	-454451	3.88
26	34		Psc	001002.3	+110844	5.51
27	22		And	001019.3	+460420	5.03
28				001029.7	+570956	6.74
29				001018.8	-051455	5.84
30		Gam3	Oct	001002.1	-821326	5.28
31				001042.8	-123448	5.85
32				001038.6	-731328	6.64
33	6		Cet	001115.9	-152805	4.89
34		Kap2	Scl	001134.4	-274759	5.41
35		The	Scl	001144.0	-350759	5.25
36				001159.1	+480909	6.16
37				001210.0	-175618	5.25
38				001250.4	+374136	6.73
39	88	Gam	Peg	001314.2	+151101	2.83
40				001324.0	+265914	6.30
41	23		And	001330.8	+410207	5.72
42				001342.1	-260119	5.94
43				001344.2	-261705	6.31
44				001402.3	+331222	6.25
45	89	Chi	Peg	001436.2	+201224	4.80
46				001427.6	-074650	5.12
47				001319.4	-845939	5.77
48	7		Cet	001438.4	-185558	4.44
49				001456.1	+221703	6.24
50	35		Psc	001458.8	+084915	5.79
51				001454.5	-093411	5.75
52				001507.0	+313209	6.45
53				001510.6	+271659	6.35
54				001458.2	-345416	6.17
55				001614.0	+765703	6.35
56				001621.6	+433541	6.15
57				001608.9	-312647	5.67
58				001555.2	-755441	6.49
59	36		Psc	001634.1	+081424	6.11
60				001657.1	+613200	5.74
61				001642.5	-201238	6.47
62				001709.1	+475651	5.89
63	24	The	And	001705.5	+384054	4.61
64				001649.0	-784650	6.77
65				001743.0	+512559	6.14
66				001732.6	-190304	6.45
67				001747.7	+014120	6.17
68	25	Sig	And	001819.7	+364707	4.52
69				001817.2	+111221	6.05
70	26		And	001842.1	+434728	6.11
71				001838.3	+313102	5.87
72				001841.8	-080310	6.46
73				001842.6	-431407	6.33
74	8	Iot	Cet	001925.7	-084926	3.56
75				001941.6	+404347	6.33
76				002005.2	+485155	6.52
77		Zet	Tuc	002004.3	-645229	4.23
78				002024.4	+305609	5.90
79				002045.5	+325441	5.79
80	41		Psc	002035.9	+081125	5.37
81				002054.5	+105837	6.56
82	27	Rho	And	002107.3	+375807	5.18
83		Pi	Tuc	002039.0	-693730	5.51
84		Iot	Scl	002131.2	-285854	5.18
85				002146.3	-200328	5.12
86	42		Psc	002225.5	+132857	6.23
87				002128.6	-772537	5.97
88	9		Cet	002251.8	-121234	6.39
89				002312.6	-310210	6.55
90				002402.0	+383438	7.39
91				002415.6	+520112	5.57
92	NO	VA 1	572			
93	12		Cas	002447.5	+614952	5.40
94				002429.7	-021309	6.07
95	47		Tuc			
96				002506.4	+530249	5.74
97	44		Psc	002524.2	+015623	5.77
98		Bet	Hyi	002545.1	-771515	2.80
99		Alp	Phe	002617.0	-421822	2.39
100		Kap	Phe	002612.2	-434048	3.94
101	10		Cet	002637.4	-000259	6.19
102				002714.7	-253250	5.98
103	47		Psc	002802.9	+175335	5.06
104				002813.7	+442340	5.17
105		Eta	Scl	002755.7	-330026	4.81
106	48		Psc	002812.7	+162642	6.06
107				002820.1	+101123	6.04
108				002821.1	-202006	6.43
109				002826.4	-395454	5.43
110				002856.6	+365400	6.26
111				002843.1	-503158	6.26
112				003055.0	+770110	6.21
113				003019.9	+595838	5.94
114	28		And	003007.3	+294506	5.23
115				002951.9	-145151	6.14
116				002948.9	-320700	6.57
117	12		Cet	003002.4	-035726	5.72
118				003022.7	-234716	5.19
119				003027.8	-405622	6.19
120				003026.1	-481254	5.69
121	13		Cas	003125.3	+663110	6.18
122				003125.6	+333454	5.87
123	14	Lam	Cas	003146.4	+543120	4.73
124				003141.2	+525022	5.60
125		Lam1	Phe	003125.0	-484813	4.77
126		Bet1	Tuc	003132.7	-625729	4.37
127		Bet2	Tuc	003133.6	-625757	4.54
128				003226.8	+432941	6.70
129				003319.3	+705854	6.42
130	15	Kap	Cas	003300.0	+625554	4.16
131	52		Psc	003235.5	+201740	5.38
132	51		Psc	003223.8	+065720	5.67
133				003234.5	+273450	6.67
134				003249.1	+281649	6.30
135				003310.4	+545342	5.93
136		Bet3	Tuc	003243.8	-630152	5.09
137	16		Cas	003424.9	+664501	6.48
138				003341.1	-293330	5.55
139		The	Tuc	003323.3	-711558	6.13
140				003427.8	-522223	5.57
141				003455.3	+132216	6.40
142	13		Cet	003514.9	-033534	5.20
143	14		Cet	003532.8	-003020	5.93
144				003608.3	+541007	5.08
145				003554.7	+131224	6.41
146				003627.3	+601934	5.79
147		Lam2	Phe	003541.1	-480003	5.51
148				003533.4	-544919	6.06
149				003620.0	+271517	6.50
150				003603.0	-145825	6.45
151				003606.9	-225033	6.06
152				003646.6	+442919	5.13
153	17	Zet	Cas	003658.3	+535349	3.66
154	29	Pi	And	003652.9	+334310	4.36
155	53		Psc	003647.3	+151354	5.89
156				003707.2	+240051	6.47
157				003721.1	+352358	5.48
158				003947.3	+822938	6.40
159				003720.7	-244602	5.57
160				003637.4	-650729	6.42
161				003730.5	+030807	6.39
162				003718.1	-542339	6.41
163	30	Eps	And	003833.3	+291842	4.37
164				003909.9	+492116	5.43
165	31	Del	And	003919.7	+305139	3.27
166	54		Psc	003921.8	+211502	5.87
167	55		Psc	003955.6	+212618	5.36
168	18	Alp	Cas	004030.5	+563214	2.23
169				003840.8	-730814	6.85
170				003957.9	-335742	6.69
171				003952.0	-444748	6.01
172				004028.6	-163101	6.49
173				004032.9	-234816	6.14
174				004042.4	-042107	5.91
175	32		And	004107.2	+392731	5.33
176				004026.4	-592716	5.89
177				004203.4	+660851	5.83
178				004136.0	+243745	6.04
179	19	Xi	Cas	004203.9	+503045	4.80
180		Mu	Phe	004119.6	-460506	4.59
181				004231.1	+584512	6.17
182	M	31	And			
183		Xi	Phe	004146.4	-563006	5.70
184	20	Pi	Cas	004328.1	+470129	4.94
185		Lam1	Scl	004242.9	-382748	6.06
186				004241.8	-601545	5.98
187		Rho	Tuc	004228.4	-652805	5.39
188	16	Bet	Cet	004335.4	-175912	2.04
189				004426.4	+475151	5.67
190				004350.2	-120042	6.02
191		Eta	Phe	004321.2	-572747	4.36
192	21		Cas	004539.0	+745917	5.66
193	22	Omi	Cas	004443.5	+481704	4.54
194	17	Phi1	Cet	004411.4	-103634	4.76
195		Lam2	Scl	004412.1	-382518	5.90
196				004517.2	+551318	5.42
197				004444.4	-220022	5.24
198				004457.1	-424036	5.94
199				004432.3	-622952	6.07
200				004639.0	+691930	6.33
201				004524.1	-043745	6.15
202				004500.0	-534254	6.15
203	18		Cet	004528.7	-125251	6.15
204				004615.1	+551819	6.52
205				004610.9	+445141	6.05
206				004541.7	-162527	6.47
207				004642.4	+593428	6.39
208	23		Cas	004746.1	+745051	5.41
209				004545.6	-473306	5.80
210				004611.8	-223119	5.50
211	57		Psc	004633.0	+152832	5.38
212				004809.1	+724030	5.87
213	58		Psc	004701.5	+115826	5.50
214	59		Psc	004713.6	+193444	6.13
215	34	Zet	And	004720.3	+241602	4.06
216	60		Psc	004723.6	+064427	5.99
217	61		Psc	004754.8	+205531	6.54
218				004743.3	-180341	5.70
219	24	Eta	Cas	004906.0	+574857	3.44
220				004801.1	-214321	5.57
221	62		Psc	004817.4	+071800	5.93
222				004823.0	+051650	5.75
223	25	Nu	Cas	004850.1	+505806	4.89
224	63	Del	Psc	004841.0	+073506	4.43
225	64		Psc	004858.7	+165626	5.07
226	35	Nu	And	004948.8	+410444	4.53
227				004925.6	-133341	5.59
228				004913.9	-240811	5.90
229				004856.7	-464152	6.27
230	65		Psc	004952.8	+274239	7.0 
231	65		Psc	004953.2	+274237	7.1 
232				004933.4	-232142	6.28
233				005043.6	+641451	5.39
234				005018.3	+450008	6.15
235	19	Phi2	Cet	005007.6	-103840	5.19
236		Lam	Hyi	004835.4	-745524	5.07
237				005116.4	+614821	6.07
238				005057.4	+513029	6.39
239				005003.7	-432341	6.48
240				005453.1	+834226	5.62
241				005133.7	+513416	6.21
242		Rho	Phe	005041.2	-505913	5.22
243				005118.3	+032306	6.37
244				005304.1	+610727	4.82
245				005152.1	-434233	6.90
246				005253.4	+383255	6.69
247				005240.6	-240021	5.46
248	20		Cet	005300.5	-010839	4.77
249				005328.2	+372505	6.06
250				005347.6	+524121	6.27
251				005312.4	-244637	6.46
252		Lam1	Tuc	005224.3	-693016	6.22
253	26	Ups1	Cas	005500.1	+585822	4.83
254	66		Psc	005435.2	+191118	5.74
255	21		Cet	005417.6	-084427	6.16
256				005505.2	+484043	6.27
257				005337.9	-625217	5.70
258	36		And	005458.0	+233742	5.47
259				005514.7	+243325	6.20
260				005612.9	+575948	6.21
261				005655.6	+684634	6.37
262	67		Psc	005558.5	+271234	6.09
263				005542.4	-072050	5.85
264	27	Gam	Cas	005642.5	+604300	2.47
265	28	Ups2	Cas	005639.8	+591052	4.63
266				005647.1	+602146	5.55
267	22	Phi3	Cet	005601.5	-111600	5.31
268				005555.5	-274632	6.10
269	37	Mu	And	005645.2	+382958	3.87
270		Lam2	Tuc	005500.3	-693137	5.45
271	38	Eta	And	005712.4	+232503	4.42
272				005739.7	+455023	6.12
273				005831.1	+662108	5.97
274	68		Psc	005750.2	+285932	5.42
275				005814.2	+335703	5.98
276				005754.5	+134145	6.32
277				005818.9	+212416	6.37
278				010031.0	+705859	6.39
279	23	Phi4	Cet	005843.9	-112248	5.61
280		Alp	Scl	005836.4	-292127	4.31
281				005822.4	-604147	6.23
282				010003.4	+444240	6.84
283				010003.6	+444248	6.04
284				005949.7	+062859	6.11
285				010844.7	+861525	4.25
286				013350.4	+890056	6.46
287				010218.4	+510206	6.47
288		Xi	Scl	010118.3	-385500	5.59
289				010301.5	+472234	6.45
290	39		And	010254.3	+412042	5.98
291	69	Sig	Psc	010249.1	+314816	5.50
292				010337.0	+610430	5.92
293		Sig	Scl	010226.4	-313307	5.50
294	71	Eps	Psc	010256.6	+075324	4.28
295		Ome	Phe	010201.8	-570009	6.11
296	25		Cet	010302.6	-045012	5.43
297				010419.6	+613449	5.84
298				010402.4	+523008	5.99
299				010249.2	-462351	5.36
300				010317.6	-293133	6.29
301	26		Cet	010349.0	+012200	6.04
302				010446.8	+510036	6.54
303				010427.6	+293931	6.19
304				010242.9	-652722	6.21
305				010436.4	+395928	6.72
306				011613.5	+870843	6.25
307	73		Psc	010452.6	+053923	6.00
308	72		Psc	010505.4	+145646	5.68
309				010622.8	+624542	6.54
310	74	Psi1	Psc	010540.9	+212824	5.34
311	74	Psi1	Psc	010541.7	+212755	5.56
312				010912.3	+800042	6.29
313	77		Psc	010549.2	+045430	6.35
314	77		Psc	010551.4	+045434	7.25
315	27		Cet	010536.8	-095845	6.12
316				010700.2	+565606	6.43
317	28		Cet	010605.1	-095022	5.58
318				010709.5	+532954	6.38
319	75		Psc	010633.6	+125722	6.12
320				010607.7	-235933	6.14
321	30	Mu	Cas	010816.4	+545513	5.17
322		Bet	Phe	010605.0	-464307	3.31
323				010626.5	-353939	6.61
324	41		And	010800.9	+435631	5.03
325				010713.1	-235947	6.37
326				010833.3	+581549	5.79
327	78		Psc	010801.3	+320044	6.25
328	79	Psi2	Psc	010757.2	+204421	5.55
329	30		Cet	010746.2	-094708	5.82
330	80		Psc	010822.2	+053859	5.52
331		Ups	Phe	010747.9	-412913	5.21
332		Iot	Tuc	010718.7	-614631	5.37
333				011216.7	+794026	5.64
334	31	Eta	Cet	010835.4	-101056	3.45
335	42	Phi	And	010930.2	+471431	4.25
336	31		Cas	011039.3	+684643	5.29
337	43	Bet	And	010943.9	+353714	2.06
338		Zet	Phe	010823.1	-551445	3.92
339	81	Psi3	Psc	010949.2	+193931	5.55
340	44		And	011018.8	+420453	5.65
341				011019.4	+252728	5.80
342				011125.6	+641210	5.55
343	33	The	Cas	011106.2	+550859	4.33
344				011011.5	+154027	6.06
345	32		Cas	011141.4	+650108	5.57
346	32		Cet	011012.0	-085422	6.40
347	33		Cet	011033.6	+022644	5.95
348	45		And	011110.3	+374327	5.81
349	82		Psc	011106.8	+312529	5.16
350				011007.4	-574140	6.41
351	84	Chi	Psc	011127.2	+210205	4.66
352	83	Tau	Psc	011139.6	+300523	4.51
353	34		Cet	011143.5	-021504	5.94
354				011309.9	+614221	6.41
355				011234.0	+452016	6.11
356				011259.5	+300351	6.19
357				011630.7	+795436	6.26
358				011223.4	-304808	6.52
359				011245.4	-375123	5.92
360	85	Phi	Psc	011344.9	+243501	4.65
361	86	Zet	Psc	011343.9	+073431	5.24
362	86	Zet	Psc	011345.3	+073442	6.30
363				011405.0	+283147	6.43
364	87		Psc	011407.6	+160801	5.98
365				011612.1	+714438	7.83
366	37		Cet	011424.0	-075523	5.13
367	88		Psc	011442.4	+065943	6.03
368	38		Cet	011449.2	-005826	5.70
369				011624.5	+480456	6.61
370		Nu	Phe	011511.1	-453153	4.96
371				011618.8	+330653	6.02
372				011705.1	+445407	6.34
373	39		Cet	011636.3	-023001	5.41
374				011724.1	+314441	6.73
375				012019.5	+773414	6.31
376				011810.2	+472511	6.25
377		Kap	Tuc	011546.1	-685234	4.86
378	89		Psc	011748.0	+033652	5.16
379				011847.0	+372310	6.46
380				011703.6	-662353	6.24
381				012159.1	+761420	6.38
382	34	Phi	Cas	012004.9	+581354	4.98
383	90	Ups	Psc	011928.0	+271551	4.76
384	35		Cas	012105.2	+643930	6.34
385	42		Cet	011948.3	-003032	5.87
386				012346.8	+784333	6.07
387				012034.5	-031449	6.23
388				012027.8	-111420	6.15
389	91		Psc	012107.4	+284417	5.23
390	46	Xi	And	012220.4	+453144	4.88
391				012321.6	+580835	6.45
392				012237.0	+014335	6.20
393	43		Cet	012234.8	-002659	6.49
394				012230.5	-190453	6.35
395	47		And	012340.6	+374254	5.58
396				012337.5	+341445	6.29
397				012324.9	+202808	5.97
398				012546.5	+705848	6.49
399	36	Psi	Cas	012556.0	+680748	4.74
400				012331.0	-305644	5.84
401	44		Cet	012402.5	-080027	6.21
402	45	The	Cet	012401.4	-081100	3.60
403	37	Del	Cas	012549.0	+601407	2.68
404				012420.6	-065453	5.91
405				012439.8	-153937	6.14
406				012448.7	-025055	6.15
407				012535.7	+233042	6.18
408				012440.8	-412933	5.42
409				012618.6	+432728	5.96
410				012608.7	+343447	6.31
411				012441.9	-443142	6.26
412	46		Cet	012537.2	-143556	4.90
413	93	Rho	Psc	012615.3	+191020	5.38
414	94		Psc	012641.7	+191425	5.50
415				012706.2	+342239	6.27
416				012627.3	-002355	6.41
417	48	Ome	And	012739.4	+452424	4.83
418				012726.6	+410602	6.46
419				012653.5	+033207	6.58
420				012505.3	-642210	5.93
421	47		Cet	012651.6	-130324	5.66
422				012747.0	+402008	6.60
423				012658.1	-323235	5.79
424	1	Alp	UMi	023148.7	+891551	2.02
425				012746.6	-105406	6.13
426				012822.9	+075741	6.20
427	38		Cas	013113.8	+701553	5.81
428				013052.3	+660553	6.14
429		Gam	Phe	012821.9	-431906	3.41
430	49		And	013006.2	+470026	5.27
431				012843.3	-334549	6.58
432	97		Psc	012952.9	+182120	6.02
433	48		Cet	012936.1	-213746	5.12
434	98	Mu	Psc	013011.1	+060838	4.84
435				012930.4	-464523	6.31
436				013022.9	-261228	5.93
437	99	Eta	Psc	013129.0	+152045	3.62
438				013207.6	+344800	6.39
439				013325.8	+581939	5.70
440		Del	Phe	013115.1	-490422	3.95
441				013143.3	-301700	5.82
442	39	Chi	Cas	013355.9	+591355	4.71
443				013139.1	-453432	6.17
444				013303.5	-090053	6.59
445				013256.0	-365155	5.51
446				013416.6	+371414	5.88
447				013236.3	-494340	6.28
448				013342.9	-070131	5.76
449				013722.5	+741803	6.58
450				013449.1	+182738	5.89
451	49		Cet	013437.8	-154034	5.63
452				013552.5	+410435	6.38
453				013450.7	-315332	6.12
454				013627.2	+484322	5.92
455	101		Psc	013546.4	+143941	6.22
456	40		Cas	013830.9	+730224	5.28
457				013554.8	+172601	5.80
458	50	Ups	And	013647.8	+412420	4.09
459	50		Cet	013559.0	-152401	5.42
460				013515.2	-580822	6.01
461				013807.6	+575839	5.56
462		Tau	Scl	013608.4	-295427	5.69
463	102	Pi	Psc	013705.9	+120830	5.57
464	51		And	013759.6	+483742	3.57
465				013831.7	+452400	6.36
466				013737.7	-092414	6.24
467				013339.2	-783017	6.11
468				013644.8	-581615	6.18
469	52	Chi	And	013921.0	+442310	4.98
470				014013.1	+535206	6.39
471				013827.4	-363142	5.94
472		Alp	Eri	013742.9	-571412	0.46
473				013851.8	-211631	5.58
474				013850.0	-250119	6.70
475	105		Psc	013940.8	+162421	5.97
476				014039.8	+431752	5.61
477	53	Tau	And	014034.8	+403437	4.94
478	43		Cas	014220.5	+680235	5.59
479				013848.2	-532620	6.84
480	42		Cas	014255.9	+703721	5.18
481				014203.0	+610218	6.71
482				014217.8	+583740	6.37
483				014147.2	+423649	4.95
484				014118.4	+254445	6.17
485				014139.2	+300250	5.99
486				013947.4	-561153	5.87
487				013947.8	-561141	5.76
488				014258.4	+612518	6.34
489	106	Nu	Psc	014125.9	+052915	4.44
490				014203.5	+351444	5.64
491	44		Cas	014319.7	+603304	5.78
492				014144.7	-111929	5.75
493	107		Psc	014229.8	+201607	5.24
494				014127.3	-380759	6.17
495				014316.5	+451920	6.34
496		Phi	Per	014339.6	+504119	4.07
497		Pi	Scl	014208.6	-321937	5.25
498				014203.0	-364957	5.72
499				014417.9	+573211	6.21
500				014243.5	-034125	4.99
501				014141.1	-500220	6.64
502				014446.1	+570521	6.25
503				014350.0	+321130	6.34
504				014426.5	+460823	6.35
505				014148.0	-604722	5.71
506				014229.3	-534426	5.52
507				014354.8	-044556	6.19
508	109		Psc	014455.8	+200459	6.27
509	52	Tau	Cet	014404.1	-155615	3.50
510	110	Omi	Psc	014523.6	+090928	4.26
511				014744.8	+635108	5.63
512				013755.6	-825830	5.87
513				014559.3	-054400	5.34
514		Eps	Scl	014538.8	-250309	5.31
515				014635.3	+172447	6.55
516		Tau1	Hyi	014121.3	-790854	6.33
517				014601.0	-272057	6.39
518				014748.0	+461347	6.32
519				014605.8	-504859	5.49
520				014606.3	-533119	5.04
521				014838.9	+375710	5.94
522	4		Ari	014810.9	+165720	5.84
523				014841.6	+324125	5.79
524				014716.8	-414536	6.18
525				013728.0	-844611	5.69
526				014915.7	+475349	5.82
527				014826.0	+034108	5.91
528				014747.8	-370935	6.32
529				015057.1	+515600	5.90
530	1		Ari	015008.5	+221631	5.86
531	53	Chi	Cet	014935.1	-104111	4.67
532				014919.5	-310422	6.34
533	1		Per	015159.3	+550851	5.52
534				015052.0	+110236	5.94
535				014948.8	-382414	6.37
536	2		Per	015209.4	+504734	5.79
537				015020.2	-474859	6.14
538				015250.8	+512829	6.26
539	55	Zet	Cet	015127.6	-102006	3.73
540				015348.5	+553553	6.45
541				015054.5	-501222	5.94
542	45	Eps	Cas	015423.7	+634012	3.38
543	55		And	015317.3	+404347	5.40
544	2	Alp	Tri	015304.9	+293444	3.41
545	5	Gam1	Ari	015331.8	+191745	4.83
546	5	Gam2	Ari	015331.8	+191737	4.75
547				015252.1	-165545	5.80
548	46	Ome	Cas	015600.0	+684107	4.99
549	111	Xi	Psc	015333.3	+031115	4.62
550		Tau2	Hyi	014746.5	-801036	6.06
551				015453.8	+404207	6.24
552				015457.5	+370742	6.26
553	6	Bet	Ari	015438.4	+204829	2.64
554				015323.2	-383541	6.10
555		Psi	Phe	015338.8	-461809	4.41
556				015554.4	+371640	5.89
557	56		And	015609.3	+371506	5.67
558		Phi	Phe	015422.0	-422949	5.11
559	7		Ari	015551.0	+233438	5.74
560				015553.8	+015059	6.01
561				015833.3	+614153	6.02
562				015756.4	+414140	6.78
563	8	Iot	Ari	015721.1	+174903	5.10
564				015743.8	+274816	5.82
565	56		Cet	015640.2	-223137	4.85
566		Chi	Eri	015557.5	-513632	3.70
567				015938.0	+643717	5.26
568	3		Per	015833.6	+491215	5.69
569	9	Lam	Ari	015755.7	+233546	4.79
570		Eta2	Hyi	015456.1	-673850	4.69
571				015546.4	-605141	6.06
572				020257.2	+775459	6.04
573				015700.1	-514558	6.10
574				015710.0	-472306	4.83
575	48		Cas	020157.4	+705425	4.54
576				015826.7	-330400	6.35
577				015935.7	+210330	5.87
578				015925.9	+121741	6.09
579				020310.5	+735102	6.23
580	50		Cas	020326.1	+722517	3.98
581	47		Cas	020507.4	+771653	5.38
582	112		Psc	020009.2	+030550	5.88
583	57		Cet	015946.1	-204928	5.41
584				015753.6	-652529	6.37
585	59	Ups	Cet	020000.3	-210440	4.00
586	52		Cas	020252.7	+645405	6.00
587				020026.9	-083125	5.51
588				015938.8	-420150	5.57
589	53		Cas	020300.3	+642324	5.58
590	4		Per	020218.1	+542915	5.04
591		Alp	Hyi	015846.2	-613411	2.86
592	49		Cas	020531.2	+760654	5.22
593		Sig	Hyi	015550.5	-782054	6.16
594		Pi	For	020114.7	-300006	5.35
595	113	Alp	Psc	020202.8	+024549	5.23
596	113	Alp	Psc	020202.8	+024549	4.33
597				020925.3	+811745	6.05
598				020440.1	+650612	6.52
599	3	Eps	Tri	020258.0	+331702	5.50
600				015941.1	-660359	6.10
601				020235.2	+132836	5.94
602		Chi	Phe	020142.4	-444249	5.14
603	57	Gam1	And	020354.0	+421947	2.26
604	57	Gam2	And	020354.7	+421951	4.84
605	10		Ari	020339.3	+255608	5.63
606				020228.1	-293954	6.42
607	60		Cet	020311.7	+000742	5.43
608				020258.6	-151821	5.86
609				020342.6	+181512	6.21
610	61		Cet	020348.2	-002025	5.93
611				020340.5	-040613	5.62
612		Nu	For	020429.4	-291749	4.69
613	12	Kap	Ari	020633.9	+223854	5.03
614				020612.3	+081451	6.31
615	11		Ari	020649.2	+254217	6.15
616				020629.3	+000206	6.28
617	13	Alp	Ari	020710.4	+232745	2.00
618				020840.5	+582525	5.67
619				020833.6	+442734	6.42
620	58		And	020829.3	+375133	4.82
621				021007.8	+535035	6.31
622	4	Bet	Tri	020932.6	+345914	3.00
623	14		Ari	020925.3	+255623	4.98
624				020923.1	+171328	6.43
625				020845.7	-174646	6.10
626				021321.2	+740140	6.29
627	5		Per	021129.0	+573845	6.36
628	59		And	021052.8	+390222	5.63
629	59		And	021053.7	+390235	6.10
630				020934.8	-242045	6.48
631	15		Ari	021037.6	+193001	5.70
632				020909.3	-433100	5.85
633	16		Ari	021112.0	+255613	6.02
634	5		Tri	021125.0	+313135	6.23
635	64		Cet	021121.1	+083411	5.63
636				021004.9	-434856	6.32
637				021025.6	-504928	6.12
638				021122.2	-100308	6.01
639	63		Cet	021135.8	-014931	5.93
640	55		Cas	021429.1	+663128	6.07
641				021341.5	+583340	6.44
642	6		Tri	021222.3	+301811	4.94
643	60		And	021313.3	+441354	4.83
644				021237.5	+241004	5.96
645				021336.3	+510357	5.31
646	17	Eta	Ari	021248.1	+211239	5.27
647				021402.6	+472903	6.06
648	19		Ari	021303.3	+151647	5.71
649	65	Xi 1	Cet	021300.0	+085048	4.37
650	66		Cet	021247.5	-022337	5.54
651				021300.9	-210001	5.86
652		Mu	For	021254.5	-304326	5.28
653				021557.9	+474841	6.33
654				021651.7	+570319	6.48
655	7		Tri	021556.2	+332132	5.28
656	20		Ari	021546.0	+254659	5.79
657	21		Ari	021542.8	+250235	5.58
658				021528.3	-092756	6.55
659				021432.0	-411000	5.91
660	8	Del	Tri	021703.2	+341327	4.87
661	8		Per	021759.9	+575359	5.75
662	7		Per	021804.5	+573100	5.98
663				021733.4	+441825	6.7 
664	9	Gam	Tri	021718.9	+335050	4.01
665				021710.4	+234604	6.55
666	67		Cet	021659.0	-062520	5.51
667		Pi 1	Hyi	021414.7	-675030	5.55
668				022012.9	+642014	6.60
669	22	The	Ari	021807.5	+195404	5.62
670	62		And	021916.8	+472248	5.30
671				021910.9	+462821	6.21
672				021801.4	+014528	5.58
673				021922.7	+485719	6.37
674		Phi	Eri	021630.6	-513044	3.56
675	10		Tri	021857.0	+283833	5.03
676				021858.0	+231004	6.46
677				021937.3	+395006	6.63
678		Pi 2	Hyi	021528.5	-674447	5.69
679				022041.4	+471839	6.11
680				022004.4	+301118	6.47
681	68	Omi	Cet	021920.7	-025839	3.04
682	63		And	022058.2	+500905	5.59
683				021858.5	-255644	6.34
684				021940.8	-042044	6.50
685	9		Per	022221.4	+555044	5.17
686				021924.7	-415054	6.37
687				022250.3	+412347	5.82
688				021954.3	-555641	5.81
689	69		Cet	022156.6	+002345	5.28
690				022351.8	+552152	6.28
691	70		Cet	022212.4	-005306	5.42
692				022201.4	-104640	5.46
693				022205.0	-173944	5.87
694	64		And	022424.9	+500024	5.19
695		Kap	For	022232.6	-234859	5.20
696	10		Per	022516.0	+563636	6.25
697				022257.8	-182116	6.22
698				022211.8	-431200	6.31
699	65		And	022537.4	+501643	4.71
700				022306.5	-373435	6.53
701				022254.6	-510532	5.92
702	24	Xi	Ari	022449.0	+103638	5.47
703				022420.1	-255051	6.44
704	71		Cet	022458.4	-024648	6.33
705		Del	Hyi	022144.9	-683934	4.09
706				022433.8	-405026	6.18
707		Iot	Cas	022904.0	+672409	4.52
708	72	Rho	Cet	022557.0	-121726	4.89
709	66		And	022751.8	+503411	6.12
710				022600.3	-152028	5.83
711				022707.0	+270048	6.18
712	11		Tri	022727.7	+314805	5.54
713				022635.2	-200234	5.88
714		Lam	Hor	022453.9	-601843	5.35
715		Kap	Hyi	022252.3	-733845	5.01
716				022925.0	+553211	6.51
717	12		Tri	022810.0	+294010	5.29
718	73	Xi 2	Cet	022809.5	+082736	4.28
719				022800.0	+015739	6.45
720	13		Tri	022848.5	+295555	5.89
721		Kap	Eri	022659.1	-474214	4.25
722				022526.3	-662941	6.41
723				022913.6	+232808	6.19
724		Phi	For	022801.7	-334840	5.14
725				022935.3	+093357	6.07
726				023016.6	+335002	6.25
727				022835.4	-310609	6.11
728				023032.4	+251406	5.92
729	26		Ari	023038.4	+195119	6.15
730				022955.4	-224058	6.77
731	27		Ari	023054.4	+174214	6.23
732				023045.2	+001519	6.00
733				023013.8	-251111	6.51
734				022804.4	-641759	6.37
735				023032.8	-223244	6.10
736	14		Tri	023206.2	+360850	5.15
737				023130.1	+021602	5.25
738				023252.5	+343233	5.83
739	75		Cet	023209.4	-010206	5.35
740	76	Sig	Cet	023205.2	-151441	4.75
741	29		Ari	023254.1	+150205	6.04
742				023214.8	-362539	6.30
743				023802.0	+724906	5.16
744		Lam1	For	023307.0	-343900	5.90
745				023340.2	-200007	6.21
746				023527.9	+393952	6.36
747				023736.1	+654444	5.78
748				023538.8	+371844	5.71
749		Ome	For	023350.7	-281357	4.90
750	15		Tri	023546.8	+344115	5.35
751				023504.1	+072817	6.18
752	77		Cet	023442.7	-075134	5.75
753				023604.9	+065313	5.82
754	78	Nu	Cet	023552.5	+053536	4.86
755				023354.6	-510537	6.24
756				023657.2	+384358	5.90
757				023642.9	+313627	6.10
758				023702.5	+341550	5.3 
759	80		Cet	023600.0	-074954	5.53
760				023720.8	+395345	6.54
761				023706.4	+325331	6.25
762				023333.6	-623513	6.77
763	31		Ari	023637.9	+122651	5.68
764	30		Ari	023657.7	+243854	7.09
765	30		Ari	023700.5	+243851	6.50
766				023635.1	+074347	5.81
